ADDIU 001001ssssstttttiiiiiiiiiiiiiiii
BEQ 000100ssssstttttoooooooooooooooo
BNE 000101ssssstttttoooooooooooooooo
J 000010iiiiiiiiiiiiiiiiiiiiiiiiii
JAL 000011iiiiiiiiiiiiiiiiiiiiiiiiii
JR 000000sssss0000000000hhhhh001000
LW 100011bbbbbtttttoooooooooooooooo
SW 101011bbbbbtttttoooooooooooooooo
LB 100000bbbbbtttttoooooooooooooooo
SB 101000bbbbbtttttoooooooooooooooo
AND 000000ssssstttttddddd00000100100
ANDI 001100ssssstttttiiiiiiiiiiiiiiii
LUI 00111100000tttttiiiiiiiiiiiiiiii
OR 000000ssssstttttddddd00000100101
ORI 001101ssssstttttiiiiiiiiiiiiiiii
XOR 000000ssssstttttddddd00000100110
XORI 001110ssssstttttiiiiiiiiiiiiiiii
SLL 00000000000tttttdddddaaaaa000000
SRL 00000000000tttttdddddaaaaa000010
SYSCALL 000000cccccccccccccccccccc001100
ERET 01000010000000000000000000011000
MFC0 01000000000tttttddddd00000000lll
MTC0 01000000100tttttddddd00000000lll
TLBWI 01000010000000000000000000000010
TLBP 01000010000000000000000000001000
TLBWR 01000010000000000000000000000110
TLBR 01000010000000000000000000000001
ADDU 000000ssssstttttddddd00000100001
BGTZ 000111sssss00000oooooooooooooooo
